XUZ|KHG,|KHG|URC|INC|XUZ|
XUZ|KRL,|KRL|URC|INC|XUZ|
XUZ|KRY,|KRY|URC|INC|XUZ|
XUZ|LBD,|LBD|URC|INC|XUZ|
XUZ|NLT,|NLT|URC|INC|XUZ|
XUZ|OSS,|OSS|URC|INC|XUZ|
XUZ|OVB,|OVB|URC|INC|XUZ|
XUZ|TBS,|TBS|URC|INC|XUZ|
XUZ|TCG,|TCG|URC|INC|XUZ|
XUZ|TSE,|TSE|URC|INC|XUZ|
XUZ|YIN,|YIN|URC|INC|XUZ|
XUZ|ENH,|ENH|WUH|CAN|XUZ|
XUZ|ENY,|ENY|XIY|INC|XUZ|
XUZ|WXN,|WXN|XIY|INC|XUZ|
XUZ|BLL,|BLL|IST|URC|INC|XUZ|
XUZ|ESB,|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|SAW,|SAW|TBS|URC|INC|XUZ|
XUZ|HAM,|HAM|IST|URC|INC|XUZ|
XUZ|HRE,|HRE|ADD|IST|URC|INC|XUZ|
XUZ|JUB,|JUB|CAI|IST|URC|INC|XUZ|
XUZ|SSG,|SSG|DLA|IST|URC|INC|XUZ|
XUZ|BGW,|BGW|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|EBL,|EBL|IST|URC|INC|XUZ|
XUZ|VKO,|VKO|IST|URC|INC|XUZ|
XUZ|MCT,|MCT|IST|URC|INC|XUZ|
XUZ|AYT,|AYT|IST|URC|INC|XUZ|
XUZ|SCQ,|SCQ|BIO|IST|URC|INC|XUZ|
XUZ|AAL,|AAL|IST|URC|INC|XUZ|
XUZ|AOE,|AOE|BRU|IST|URC|INC|XUZ|
XUZ|JNB,|JNB|IST|URC|INC|XUZ|
XUZ|LBV,|LBV|DLA|IST|URC|INC|XUZ|
XUZ|ADA,|ADA|SAW|TBS|URC|INC|XUZ|
XUZ|ADB,|ADB|IST|URC|INC|XUZ|
XUZ|ADF,|ADF|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|AJI,|AJI|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|BAL,|BAL|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|BJV,|BJV|IST|URC|INC|XUZ|
XUZ|CKZ,|CKZ|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|DIY,|DIY|SAW|TBS|URC|INC|XUZ|
XUZ|ECN,|ECN|SAW|TBS|URC|INC|XUZ|
XUZ|ERC,|ERC|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|ERZ,|ERZ|SAW|TBS|URC|INC|XUZ|
XUZ|EZS,|EZS|SAW|TBS|URC|INC|XUZ|
XUZ|GNY,|GNY|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|GZP,|GZP|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|GZT,|GZT|SAW|TBS|URC|INC|XUZ|
XUZ|HTY,|HTY|SAW|TBS|URC|INC|XUZ|
XUZ|KCM,|KCM|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|KSY,|KSY|SAW|TBS|URC|INC|XUZ|
XUZ|MLX,|MLX|ESB|SAW|TBS|URC|INC|XUZ|
XUZ|MQM,|MQM|SAW|TBS|URC|INC|XUZ|
