DMM|MGQ,|MGQ|JIB|IST|DMM|
DMM|CPT,|CPT|JNB|IST|DMM|
DMM|MBA,|MBA|JRO|IST|DMM|
DMM|NDJ,|NDJ|KAN|IST|DMM|
DMM|CMB,|CMB|MLE|IST|DMM|
DMM|ADE,|ADE|SAH|IST|DMM|
DMM|ASF,|ASF|SAW|ADB|IST|DMM|
DMM|STW,|STW|SAW|ADB|IST|DMM|
DMM|LFW,|LFW|ABJ|OUA|NIM|IST|DMM|
DMM|CEC,|CEC|ACV|SMF|SEA|FRA|IST|DMM|
DMM|SMF,|SMF|SEA|FRA|IST|DMM|
DMM|CDR,|CDR|AIA|DEN|FRA|IST|DMM|
DMM|FMN,|FMN|DEN|FRA|IST|DMM|
DMM|JST,|JST|IAD|IST|DMM|
DMM|JHW,|JHW|CLE|YYZ|IST|DMM|
DMM|SHD,|SHD|IAD|IST|DMM|
DMM|PTY,|PTY|MIA|ZRH|IST|DMM|
DMM|FNA,|FNA|BRU|IST|DMM|
DMM|SXB,|SXB|BRU|IST|DMM|
DMM|ACV,|ACV|SMF|SEA|FRA|IST|DMM|
DMM|MGW,|MGW|IAD|IST|DMM|
DMM|ALB,|ALB|EWR|BHX|IST|DMM|
DMM|AUS,|AUS|ORD|IST|DMM|
DMM|BFD,|BFD|CLE|YYZ|IST|DMM|
DMM|BUF,|BUF|EWR|BHX|IST|DMM|
DMM|CHS,|CHS|EWR|BHX|IST|DMM|
DMM|DAY,|DAY|CLE|YYZ|IST|DMM|
DMM|DUJ,|DUJ|CLE|YYZ|IST|DMM|
DMM|ERI,|ERI|CLE|YYZ|IST|DMM|
DMM|FKL,|FKL|CLE|YYZ|IST|DMM|
DMM|FNT,|FNT|CLE|YYZ|IST|DMM|
DMM|GRR,|GRR|CLE|YYZ|IST|DMM|
DMM|GSP,|GSP|EWR|BHX|IST|DMM|
DMM|PBI,|PBI|EWR|BHX|IST|DMM|
DMM|PKB,|PKB|CLE|YYZ|IST|DMM|
DMM|RIC,|RIC|EWR|BHX|IST|DMM|
DMM|SDF,|SDF|CLE|YYZ|IST|DMM|
DMM|GUM,|GUM|FUK|ICN|IST|DMM|
DMM|WRL,|WRL|CYS|DEN|FRA|IST|DMM|
DMM|LBL,|DMM|
DMM|ABQ,|ABQ|DEN|FRA|IST|DMM|
