MIA|CEC,|CEC|ACV|SMF|LAS|MSY|MIA|
MIA|SMF,|SMF|LAS|MSY|MIA|
MIA|CDR,|CDR|AIA|DEN|MIA|
MIA|FMN,|FMN|DEN|MIA|
MIA|JST,|JST|IAD|MIA|
MIA|JHW,|JHW|CLE|IAD|MIA|
MIA|SHD,|SHD|IAD|MIA|
MIA|PTY,|PTY|MIA|
MIA|FNA,|FNA|BRU|EWR|MIA|
MIA|SXB,|SXB|BRU|EWR|MIA|
MIA|ACV,|ACV|SMF|LAS|MSY|MIA|
MIA|MGW,|MGW|IAD|MIA|
MIA|ALB,|ALB|EWR|MIA|
MIA|AUS,|AUS|IAH|MIA|
