HPN|ZHA,|ZHA|CAN|PEK|ORD|HPN|
HPN|ZYI,|ZYI|PEK|ORD|HPN|
HPN|BAV,|BAV|CGO|PEK|ORD|HPN|
HPN|CJU,|CJU|DLC|PEK|ORD|HPN|
HPN|DSN,|DSN|CGO|PEK|ORD|HPN|
HPN|HMI,|HMI|CGO|PEK|ORD|HPN|
HPN|INC,|INC|PEK|ORD|HPN|
HPN|KHH,|KHH|CGO|PEK|ORD|HPN|
HPN|UYN,|UYN|CGO|PEK|ORD|HPN|
HPN|XNN,|XNN|PEK|ORD|HPN|
HPN|ZUH,|ZUH|PEK|ORD|HPN|
HPN|YNJ,|YNJ|PEK|ORD|HPN|
HPN|DAT,|DAT|CIH|PEK|ORD|HPN|
HPN|JHG,|JHG|CKG|PEK|ORD|HPN|
HPN|LJG,|LJG|CKG|PEK|ORD|HPN|
HPN|LXA,|LXA|XIY|PEK|ORD|HPN|
HPN|YCU,|YCU|CSX|PEK|ORD|HPN|
HPN|LZO,|LZO|CSX|PEK|ORD|HPN|
HPN|MDG,|MDG|ICN|YVR|ORD|HPN|
HPN|NGO,|NGO|ICN|YVR|ORD|HPN|
HPN|TOY,|TOY|DLC|PEK|ORD|HPN|
HPN|MFM,|MFM|XMN|PEK|ORD|HPN|
HPN|TGO,|TGO|HET|DLC|PEK|ORD|HPN|
HPN|XIL,|XIL|HET|DLC|PEK|ORD|HPN|
HPN|HEK,|HEK|HRB|PEK|ORD|HPN|
HPN|KIJ,|KIJ|HRB|PEK|ORD|HPN|
HPN|LDS,|LDS|HRB|PEK|ORD|HPN|
HPN|OHE,|OHE|HRB|PEK|ORD|HPN|
HPN|HSN,|HSN|PEK|ORD|HPN|
HPN|DLU,|DLU|KMG|PEK|ORD|HPN|
HPN|SYM,|SYM|KMG|PEK|ORD|HPN|
HPN|ZAT,|ZAT|KMG|PEK|ORD|HPN|
HPN|LUN,|LUN|NBO|ZRH|ORD|HPN|
HPN|AOG,|AOG|PEK|ORD|HPN|
HPN|GMP,|GMP|PEK|ORD|HPN|
HPN|ISB,|ISB|IST|ORD|HPN|
HPN|TAS,|TAS|IST|ORD|HPN|
HPN|WUS,|WUS|PEK|ORD|HPN|
HPN|JMU,|JMU|PVG|ORD|HPN|
HPN|NDG,|NDG|PVG|ORD|HPN|
HPN|JXA,|JXA|SHE|PEK|ORD|HPN|
HPN|PUS,|PUS|SHE|PEK|ORD|HPN|
HPN|BKI,|BKI|SZX|PEK|ORD|HPN|
HPN|AKU,|AKU|URC|TSE|FRA|ORD|HPN|
HPN|ALA,|ALA|TSE|FRA|ORD|HPN|
HPN|ASB,|ASB|GYD|FRA|ORD|HPN|
HPN|DNH,|DNH|XIY|PEK|ORD|HPN|
HPN|DYU,|DYU|IST|ORD|HPN|
HPN|FRU,|FRU|IST|ORD|HPN|
HPN|GYD,|GYD|FRA|ORD|HPN|
HPN|HTN,|HTN|URC|TSE|FRA|ORD|HPN|
HPN|IKA,|IKA|SAW|VIE|ORD|HPN|
HPN|KCA,|KCA|URC|TSE|FRA|ORD|HPN|
HPN|KHG,|KHG|URC|TSE|FRA|ORD|HPN|
HPN|KRL,|KRL|URC|TSE|FRA|ORD|HPN|
HPN|KRY,|KRY|URC|TSE|FRA|ORD|HPN|
HPN|LBD,|LBD|URC|TSE|FRA|ORD|HPN|
HPN|NLT,|NLT|URC|TSE|FRA|ORD|HPN|
HPN|OSS,|OSS|IST|ORD|HPN|
HPN|OVB,|OVB|IST|ORD|HPN|
HPN|TBS,|TBS|SAW|VIE|ORD|HPN|
HPN|TCG,|TCG|URC|TSE|FRA|ORD|HPN|
HPN|TSE,|TSE|FRA|ORD|HPN|
HPN|YIN,|YIN|URC|TSE|FRA|ORD|HPN|
HPN|ENH,|ENH|WUH|PEK|ORD|HPN|
HPN|ENY,|ENY|XIY|PEK|ORD|HPN|
HPN|WXN,|WXN|XIY|PEK|ORD|HPN|
HPN|BLL,|BLL|IST|ORD|HPN|
HPN|ESB,|ESB|VIE|ORD|HPN|
HPN|SAW,|SAW|VIE|ORD|HPN|
HPN|HAM,|HAM|EWR|ORD|HPN|
HPN|HRE,|HRE|ADD|IST|ORD|HPN|
HPN|JUB,|JUB|CAI|IST|ORD|HPN|
HPN|SSG,|SSG|DLA|BRU|ORD|HPN|
HPN|BGW,|BGW|ESB|VIE|ORD|HPN|
HPN|EBL,|EBL|IST|ORD|HPN|
HPN|VKO,|VKO|IST|ORD|HPN|
HPN|MCT,|MCT|IST|ORD|HPN|
HPN|AYT,|AYT|IST|ORD|HPN|
HPN|SCQ,|SCQ|BIO|IST|ORD|HPN|
HPN|AAL,|AAL|IST|ORD|HPN|
HPN|AOE,|AOE|BRU|ORD|HPN|
HPN|JNB,|JNB|DKR|IAD|ORD|HPN|
HPN|LBV,|LBV|DLA|BRU|ORD|HPN|
HPN|ADA,|ADA|IST|ORD|HPN|
HPN|ADB,|ADB|IST|ORD|HPN|
HPN|ADF,|ADF|ESB|VIE|ORD|HPN|
HPN|AJI,|AJI|ESB|VIE|ORD|HPN|
HPN|BAL,|BAL|ESB|VIE|ORD|HPN|
HPN|BJV,|BJV|IST|ORD|HPN|
HPN|CKZ,|CKZ|ESB|VIE|ORD|HPN|
HPN|DIY,|DIY|ESB|VIE|ORD|HPN|
HPN|ECN,|ECN|IST|ORD|HPN|
HPN|ERC,|ERC|ESB|VIE|ORD|HPN|
HPN|ERZ,|ERZ|ESB|VIE|ORD|HPN|
HPN|EZS,|EZS|ESB|VIE|ORD|HPN|
HPN|GNY,|GNY|ESB|VIE|ORD|HPN|
HPN|GZP,|GZP|ESB|VIE|ORD|HPN|
HPN|GZT,|GZT|ESB|VIE|ORD|HPN|
HPN|HTY,|HTY|IST|ORD|HPN|
HPN|KCM,|KCM|ESB|VIE|ORD|HPN|
HPN|KSY,|KSY|ESB|VIE|ORD|HPN|
HPN|MLX,|MLX|ESB|VIE|ORD|HPN|
HPN|MQM,|MQM|ESB|VIE|ORD|HPN|
HPN|MSR,|MSR|ESB|VIE|ORD|HPN|
HPN|TEQ,|TEQ|ESB|VIE|ORD|HPN|
