IND|ERC,|ERC|ESB|VIE|YYZ|IND|
IND|ERZ,|ERZ|ESB|VIE|YYZ|IND|
IND|EZS,|EZS|ESB|VIE|YYZ|IND|
IND|GNY,|GNY|ESB|VIE|YYZ|IND|
IND|GZP,|GZP|ESB|VIE|YYZ|IND|
IND|GZT,|GZT|ESB|VIE|YYZ|IND|
IND|HTY,|HTY|SAW|VIE|YYZ|IND|
IND|KCM,|KCM|ESB|VIE|YYZ|IND|
IND|KSY,|KSY|ESB|VIE|YYZ|IND|
IND|MLX,|MLX|ESB|VIE|YYZ|IND|
IND|MQM,|MQM|ESB|VIE|YYZ|IND|
IND|MSR,|MSR|ESB|VIE|YYZ|IND|
IND|TEQ,|TEQ|ESB|VIE|YYZ|IND|
IND|TZX,|TZX|ESB|VIE|YYZ|IND|
IND|VAN,|VAN|ESB|VIE|YYZ|IND|
IND|ULN,|ULN|FRU|IST|YYZ|IND|
IND|HIJ,|HIJ|ICN|YVR|ORD|IND|
IND|VVO,|VVO|ICN|YVR|ORD|IND|
IND|ACC,|ACC|IST|YYZ|IND|
IND|AER,|AER|IST|YYZ|IND|
IND|AGP,|AGP|IST|YYZ|IND|
IND|ALG,|ALG|IST|YYZ|IND|
IND|AMM,|AMM|IST|YYZ|IND|
IND|AQJ,|AQJ|IST|YYZ|IND|
IND|ARN,|ARN|EWR|IND|
IND|ASR,|ASR|SAW|VIE|YYZ|IND|
IND|ATH,|ATH|IST|YYZ|IND|
IND|BAH,|BAH|IST|YYZ|IND|
IND|BEG,|BEG|IST|YYZ|IND|
IND|BEN,|BEN|IST|YYZ|IND|
IND|BEY,|BEY|IST|YYZ|IND|
IND|BHX,|BHX|EWR|IND|
IND|BIO,|BIO|IST|YYZ|IND|
IND|BLQ,|BLQ|IST|YYZ|IND|
IND|BOM,|BOM|EWR|IND|
IND|BRE,|BRE|IST|YYZ|IND|
IND|BSL,|BSL|IST|YYZ|IND|
IND|BSR,|BSR|IST|YYZ|IND|
IND|BUD,|BUD|IST|YYZ|IND|
