CND|GCC,|GCC|DEN|FRA|IST|CND|
CND|GEG,|GEG|DEN|FRA|IST|CND|
CND|GJT,|GJT|DEN|FRA|IST|CND|
CND|GTF,|GTF|DEN|FRA|IST|CND|
CND|GUC,|GUC|DEN|FRA|IST|CND|
CND|HDN,|HDN|DEN|FRA|IST|CND|
CND|HLN,|HLN|DEN|FRA|IST|CND|
CND|HSV,|HSV|IAD|IST|CND|
CND|ICT,|ICT|ORD|IST|CND|
CND|IDA,|IDA|DEN|FRA|IST|CND|
CND|ISN,|ISN|DEN|FRA|IST|CND|
CND|JAC,|JAC|DEN|FRA|IST|CND|
CND|KOA,|KOA|YVR|MUC|IST|CND|
CND|LAR,|LAR|DEN|FRA|IST|CND|
CND|LBB,|LBB|DAL|STL|ORD|IST|CND|
