YYY|KCM,|KCM|ESB|FRA|YUL|YYY|
YYY|KSY,|KSY|ESB|FRA|YUL|YYY|
YYY|MLX,|MLX|ESB|FRA|YUL|YYY|
YYY|MQM,|MQM|ESB|FRA|YUL|YYY|
YYY|MSR,|MSR|ESB|FRA|YUL|YYY|
YYY|TEQ,|TEQ|ESB|FRA|YUL|YYY|
YYY|TZX,|TZX|ESB|FRA|YUL|YYY|
YYY|VAN,|VAN|ESB|FRA|YUL|YYY|
YYY|ULN,|ULN|FRU|IST|FRA|YUL|YYY|
YYY|HIJ,|HIJ|ICN|JFK|YUL|YYY|
YYY|VVO,|VVO|ICN|JFK|YUL|YYY|
YYY|ACC,|ACC|IST|FRA|YUL|YYY|
YYY|AER,|AER|IST|FRA|YUL|YYY|
YYY|AGP,|AGP|IST|FRA|YUL|YYY|
YYY|ALG,|ALG|IST|FRA|YUL|YYY|
YYY|AMM,|AMM|IST|FRA|YUL|YYY|
YYY|AQJ,|AQJ|IST|FRA|YUL|YYY|
YYY|ARN,|ARN|EWR|YUL|YYY|
YYY|ASR,|ASR|SAW|FRA|YUL|YYY|
YYY|ATH,|ATH|IST|FRA|YUL|YYY|
YYY|BAH,|BAH|IST|FRA|YUL|YYY|
YYY|BEG,|BEG|IST|FRA|YUL|YYY|
YYY|BEN,|BEN|IST|FRA|YUL|YYY|
YYY|BEY,|BEY|IST|FRA|YUL|YYY|
YYY|BHX,|BHX|EWR|YUL|YYY|
YYY|BIO,|BIO|IST|FRA|YUL|YYY|
YYY|BLQ,|BLQ|IST|FRA|YUL|YYY|
YYY|BOM,|BOM|IST|FRA|YUL|YYY|
YYY|BRE,|BRE|IST|FRA|YUL|YYY|
YYY|BSL,|BSL|IST|FRA|YUL|YYY|
YYY|BSR,|BSR|IST|FRA|YUL|YYY|
YYY|BUD,|BUD|IST|FRA|YUL|YYY|
YYY|BUS,|BUS|IST|FRA|YUL|YYY|
YYY|CAI,|CAI|IST|FRA|YUL|YYY|
YYY|CGN,|CGN|IST|FRA|YUL|YYY|
YYY|CMN,|CMN|IST|FRA|YUL|YYY|
YYY|CND,|CND|IST|FRA|YUL|YYY|
YYY|DAR,|DAR|NBO|ZRH|YUL|YYY|
YYY|DLM,|DLM|IST|FRA|YUL|YYY|
YYY|DMM,|DMM|IST|FRA|YUL|YYY|
YYY|DNK,|DNK|IST|FRA|YUL|YYY|
YYY|DNZ,|DNZ|IST|FRA|YUL|YYY|
YYY|DOK,|DOK|IST|FRA|YUL|YYY|
YYY|DUS,|DUS|EWR|YUL|YYY|
YYY|EDI,|EDI|EWR|YUL|YYY|
YYY|ELQ,|ELQ|IST|FRA|YUL|YYY|
YYY|FDH,|FDH|IST|FRA|YUL|YYY|
YYY|GOA,|GOA|IST|FRA|YUL|YYY|
YYY|GOT,|GOT|BRU|YUL|YYY|
YYY|HAJ,|HAJ|BRU|YUL|YYY|
YYY|HBE,|HBE|IST|FRA|YUL|YYY|
YYY|HEL,|HEL|IST|FRA|YUL|YYY|
YYY|HRG,|HRG|IST|FRA|YUL|YYY|
YYY|IFN,|IFN|IST|FRA|YUL|YYY|
YYY|ISE,|ISE|IST|FRA|YUL|YYY|
YYY|ISU,|ISU|IST|FRA|YUL|YYY|
YYY|JIB,|JIB|IST|FRA|YUL|YYY|
YYY|JRO,|JRO|IST|FRA|YUL|YYY|
YYY|KAN,|KAN|IST|FRA|YUL|YYY|
YYY|KBL,|KBL|IST|FRA|YUL|YYY|
YYY|KBP,|KBP|IST|FRA|YUL|YYY|
YYY|KFS,|KFS|IST|FRA|YUL|YYY|
YYY|KHI,|KHI|IST|FRA|YUL|YYY|
YYY|KIV,|KIV|IST|FRA|YUL|YYY|
YYY|KRT,|KRT|IST|FRA|YUL|YYY|
YYY|KSH,|KSH|IST|FRA|YUL|YYY|
YYY|KVD,|KVD|IST|FRA|YUL|YYY|
YYY|KWI,|KWI|SAW|FRA|YUL|YYY|
YYY|KYA,|KYA|IST|FRA|YUL|YYY|
YYY|KZN,|KZN|IST|FRA|YUL|YYY|
YYY|KZR,|KZR|IST|FRA|YUL|YYY|
YYY|LED,|LED|VIE|JFK|YUL|YYY|
YYY|LEJ,|LEJ|IST|FRA|YUL|YYY|
YYY|LGW,|LGW|IST|FRA|YUL|YYY|
YYY|LHE,|LHE|IST|FRA|YUL|YYY|
YYY|LIS,|LIS|EWR|YUL|YYY|
YYY|LJU,|LJU|IST|FRA|YUL|YYY|
YYY|LOS,|LOS|FRA|YUL|YYY|
YYY|LUX,|LUX|IST|FRA|YUL|YYY|
YYY|LWO,|LWO|IST|FRA|YUL|YYY|
YYY|LYS,|LYS|IST|FRA|YUL|YYY|
YYY|MAD,|MAD|EWR|YUL|YYY|
YYY|MAN,|MAN|EWR|YUL|YYY|
YYY|MED,|MED|IST|FRA|YUL|YYY|
