PRN|MSQ,|MSQ|IST|PRN|
PRN|MXP,|MXP|IST|PRN|
PRN|MZH,|MZH|IST|PRN|
PRN|MZR,|MZR|IST|PRN|
PRN|NAJ,|NAJ|IST|PRN|
PRN|NAV,|NAV|IST|PRN|
PRN|NCE,|NCE|IST|PRN|
PRN|NIM,|NIM|IST|PRN|
PRN|NJF,|NJF|IST|PRN|
PRN|NSI,|NSI|IST|PRN|
PRN|NUE,|NUE|IST|PRN|
PRN|ODS,|ODS|IST|PRN|
PRN|ORN,|ORN|IST|PRN|
PRN|OTP,|OTP|IST|PRN|
PRN|PRG,|PRG|IST|PRN|
PRN|RIX,|RIX|IST|PRN|
PRN|ROV,|ROV|IST|PRN|
PRN|RTM,|RTM|IST|PRN|
PRN|RUH,|RUH|IST|PRN|
PRN|SAH,|SAH|IST|PRN|
PRN|SJJ,|SJJ|IST|PRN|
PRN|SKG,|SKG|IST|PRN|
PRN|SKP,|SKP|IST|PRN|
PRN|SSH,|SSH|IST|PRN|
PRN|STR,|STR|IST|PRN|
PRN|SVX,|SVX|IST|PRN|
PRN|SYZ,|SYZ|IST|PRN|
PRN|SZG,|SZG|IST|PRN|
PRN|TBZ,|TBZ|IST|PRN|
PRN|TGD,|TGD|IST|PRN|
PRN|TIA,|TIA|IST|PRN|
PRN|TIF,|TIF|IST|PRN|
PRN|TIP,|TIP|IST|PRN|
PRN|TLL,|TLL|IST|PRN|
PRN|TLS,|TLS|IST|PRN|
PRN|TRN,|TRN|IST|PRN|
PRN|TUN,|TUN|IST|PRN|
PRN|TXL,|TXL|IST|PRN|
PRN|UFA,|UFA|IST|PRN|
PRN|VAS,|VAS|IST|PRN|
PRN|VCE,|VCE|IST|PRN|
PRN|YNB,|YNB|IST|PRN|
PRN|ZAG,|ZAG|IST|PRN|
PRN|MGQ,|MGQ|JIB|IST|PRN|
PRN|CPT,|CPT|JNB|IST|PRN|
PRN|MBA,|MBA|JRO|IST|PRN|
PRN|NDJ,|NDJ|KAN|IST|PRN|
PRN|CMB,|CMB|MLE|IST|PRN|
PRN|ADE,|ADE|SAH|IST|PRN|
PRN|ASF,|ASF|SAW|ADB|IST|PRN|
PRN|STW,|STW|SAW|ADB|IST|PRN|
PRN|LFW,|LFW|ABJ|OUA|NIM|IST|PRN|
PRN|CEC,|CEC|ACV|SMF|SEA|FRA|IST|PRN|
PRN|SMF,|SMF|SEA|FRA|IST|PRN|
PRN|CDR,|CDR|AIA|DEN|FRA|IST|PRN|
PRN|FMN,|FMN|DEN|FRA|IST|PRN|
PRN|JST,|JST|IAD|IST|PRN|
PRN|JHW,|JHW|CLE|YYZ|IST|PRN|
PRN|SHD,|SHD|IAD|IST|PRN|
PRN|PTY,|PTY|MIA|ZRH|IST|PRN|
PRN|FNA,|FNA|BRU|IST|PRN|
PRN|SXB,|SXB|BRU|IST|PRN|
PRN|ACV,|ACV|SMF|SEA|FRA|IST|PRN|
PRN|MGW,|MGW|IAD|IST|PRN|
PRN|ALB,|ALB|EWR|BHX|IST|PRN|
PRN|AUS,|AUS|ORD|IST|PRN|
PRN|BFD,|BFD|CLE|YYZ|IST|PRN|
PRN|BUF,|BUF|EWR|BHX|IST|PRN|
PRN|CHS,|CHS|EWR|BHX|IST|PRN|
PRN|DAY,|DAY|CLE|YYZ|IST|PRN|
PRN|DUJ,|DUJ|CLE|YYZ|IST|PRN|
PRN|ERI,|ERI|CLE|YYZ|IST|PRN|
PRN|FKL,|FKL|CLE|YYZ|IST|PRN|
PRN|FNT,|FNT|CLE|YYZ|IST|PRN|
PRN|GRR,|GRR|CLE|YYZ|IST|PRN|
PRN|GSP,|GSP|EWR|BHX|IST|PRN|
PRN|PBI,|PBI|EWR|BHX|IST|PRN|
PRN|PKB,|PKB|CLE|YYZ|IST|PRN|
PRN|RIC,|RIC|EWR|BHX|IST|PRN|
PRN|SDF,|SDF|CLE|YYZ|IST|PRN|
PRN|GUM,|GUM|FUK|ICN|IST|PRN|
PRN|WRL,|WRL|CYS|DEN|FRA|IST|PRN|
PRN|LBL,|PRN|
PRN|ABQ,|ABQ|DEN|FRA|IST|PRN|
