DTW|KYA,|KYA|IST|FRA|DTW|
DTW|KZN,|KZN|IST|FRA|DTW|
DTW|KZR,|KZR|IST|FRA|DTW|
DTW|LED,|LED|VIE|YYZ|DTW|
DTW|LEJ,|LEJ|IST|FRA|DTW|
DTW|LGW,|LGW|IST|FRA|DTW|
DTW|LHE,|LHE|IST|FRA|DTW|
DTW|LIS,|LIS|EWR|DTW|
DTW|LJU,|LJU|IST|FRA|DTW|
DTW|LOS,|LOS|FRA|DTW|
DTW|LUX,|LUX|IST|FRA|DTW|
DTW|LWO,|LWO|IST|FRA|DTW|
DTW|LYS,|LYS|IST|FRA|DTW|
DTW|MAD,|MAD|EWR|DTW|
DTW|MAN,|MAN|EWR|DTW|
DTW|MED,|MED|IST|FRA|DTW|
DTW|MHD,|MHD|IST|FRA|DTW|
DTW|MLA,|MLA|IST|FRA|DTW|
DTW|MRS,|MRS|IST|FRA|DTW|
DTW|MSQ,|MSQ|IST|FRA|DTW|
DTW|MXP,|MXP|EWR|DTW|
DTW|MZH,|MZH|IST|FRA|DTW|
DTW|MZR,|MZR|IST|FRA|DTW|
DTW|NAJ,|NAJ|IST|FRA|DTW|
DTW|NAV,|NAV|IST|FRA|DTW|
DTW|NCE,|NCE|IST|FRA|DTW|
DTW|NIM,|NIM|IST|FRA|DTW|
DTW|NJF,|NJF|IST|FRA|DTW|
DTW|NSI,|NSI|BRU|YUL|YYZ|DTW|
DTW|NUE,|NUE|IST|FRA|DTW|
DTW|ODS,|ODS|IST|FRA|DTW|
DTW|ORN,|ORN|IST|FRA|DTW|
DTW|OTP,|OTP|IST|FRA|DTW|
DTW|PRG,|PRG|BRU|YUL|YYZ|DTW|
DTW|PRN,|PRN|IST|FRA|DTW|
DTW|RIX,|RIX|IST|FRA|DTW|
DTW|ROV,|ROV|IST|FRA|DTW|
DTW|RTM,|RTM|IST|FRA|DTW|
DTW|RUH,|RUH|IST|FRA|DTW|
DTW|SAH,|SAH|IST|FRA|DTW|
DTW|SJJ,|SJJ|IST|FRA|DTW|
DTW|SKG,|SKG|IST|FRA|DTW|
DTW|SKP,|SKP|IST|FRA|DTW|
DTW|SSH,|SSH|IST|FRA|DTW|
DTW|STR,|STR|EWR|DTW|
DTW|SVX,|SVX|IST|FRA|DTW|
DTW|SYZ,|SYZ|IST|FRA|DTW|
DTW|SZG,|SZG|IST|FRA|DTW|
DTW|TBZ,|TBZ|IST|FRA|DTW|
DTW|TGD,|TGD|IST|FRA|DTW|
DTW|TIA,|TIA|IST|FRA|DTW|
DTW|TIF,|TIF|IST|FRA|DTW|
DTW|TIP,|TIP|IST|FRA|DTW|
DTW|TLL,|TLL|VNO|CPH|YYZ|DTW|
DTW|TLS,|TLS|IST|FRA|DTW|
DTW|TRN,|TRN|IST|FRA|DTW|
DTW|TUN,|TUN|IST|FRA|DTW|
DTW|TXL,|TXL|EWR|DTW|
DTW|UFA,|UFA|IST|FRA|DTW|
DTW|VAS,|VAS|SAW|VIE|YYZ|DTW|
DTW|VCE,|VCE|IST|FRA|DTW|
DTW|YNB,|YNB|IST|FRA|DTW|
DTW|ZAG,|ZAG|IST|FRA|DTW|
DTW|MGQ,|MGQ|JIB|IST|FRA|DTW|
DTW|CPT,|CPT|JNB|DKR|IAD|DTW|
DTW|MBA,|MBA|JRO|IST|FRA|DTW|
DTW|NDJ,|NDJ|KAN|IST|FRA|DTW|
DTW|CMB,|CMB|MLE|IST|FRA|DTW|
DTW|ADE,|ADE|SAH|IST|FRA|DTW|
DTW|ASF,|ASF|SAW|VIE|YYZ|DTW|
DTW|STW,|STW|SAW|VIE|YYZ|DTW|
DTW|LFW,|LFW|ABJ|BRU|YUL|YYZ|DTW|
DTW|CEC,|CEC|ACV|SMF|ORD|DTW|
DTW|SMF,|SMF|ORD|DTW|
DTW|CDR,|CDR|AIA|DEN|DTW|
DTW|FMN,|FMN|DEN|DTW|
DTW|JST,|JST|IAD|DTW|
DTW|JHW,|JHW|CLE|YYZ|DTW|
DTW|SHD,|SHD|IAD|DTW|
DTW|PTY,|PTY|MCO|ATL|DTW|
DTW|FNA,|FNA|BRU|YUL|YYZ|DTW|
DTW|SXB,|SXB|BRU|YUL|YYZ|DTW|
DTW|ACV,|ACV|SMF|ORD|DTW|
DTW|MGW,|MGW|IAD|DTW|
DTW|ALB,|ALB|EWR|DTW|
DTW|AUS,|AUS|DAL|STL|DTW|
DTW|BFD,|BFD|CLE|YYZ|DTW|
DTW|BUF,|BUF|CLE|YYZ|DTW|
DTW|CHS,|CHS|IAD|DTW|
DTW|DAY,|DAY|ORD|DTW|
DTW|DUJ,|DUJ|CLE|YYZ|DTW|
DTW|ERI,|ERI|CLE|YYZ|DTW|
DTW|FKL,|FKL|CLE|YYZ|DTW|
DTW|FNT,|FNT|CLE|YYZ|DTW|
DTW|GRR,|GRR|ORD|DTW|
DTW|GSP,|GSP|BNA|DTW|
DTW|PBI,|PBI|ATL|DTW|
DTW|PKB,|PKB|CLE|YYZ|DTW|
DTW|RIC,|RIC|IAD|DTW|
