CZX|MSQ,|MSQ|IST|URC|TYN|CZX|
CZX|MXP,|MXP|IST|URC|TYN|CZX|
CZX|MZH,|MZH|IST|URC|TYN|CZX|
CZX|MZR,|MZR|IST|URC|TYN|CZX|
CZX|NAJ,|NAJ|IST|URC|TYN|CZX|
CZX|NAV,|NAV|IST|URC|TYN|CZX|
CZX|NCE,|NCE|IST|URC|TYN|CZX|
CZX|NIM,|NIM|IST|URC|TYN|CZX|
CZX|NJF,|NJF|IST|URC|TYN|CZX|
CZX|NSI,|NSI|IST|URC|TYN|CZX|
CZX|NUE,|NUE|IST|URC|TYN|CZX|
CZX|ODS,|ODS|IST|URC|TYN|CZX|
CZX|ORN,|ORN|IST|URC|TYN|CZX|
CZX|OTP,|OTP|IST|URC|TYN|CZX|
CZX|PRG,|PRG|IST|URC|TYN|CZX|
CZX|PRN,|PRN|IST|URC|TYN|CZX|
CZX|RIX,|RIX|IST|URC|TYN|CZX|
CZX|ROV,|ROV|IST|URC|TYN|CZX|
CZX|RTM,|RTM|IST|URC|TYN|CZX|
CZX|RUH,|RUH|IST|URC|TYN|CZX|
CZX|SAH,|SAH|IST|URC|TYN|CZX|
CZX|SJJ,|SJJ|IST|URC|TYN|CZX|
CZX|SKG,|SKG|IST|URC|TYN|CZX|
CZX|SKP,|SKP|IST|URC|TYN|CZX|
CZX|SSH,|SSH|IST|URC|TYN|CZX|
CZX|STR,|STR|IST|URC|TYN|CZX|
