MBS|AMM,|AMM|IST|ORD|MBS|
MBS|AQJ,|AQJ|IST|ORD|MBS|
MBS|ARN,|ARN|EWR|ORD|MBS|
MBS|ASR,|ASR|SAW|VIE|ORD|MBS|
MBS|ATH,|ATH|IST|ORD|MBS|
MBS|BAH,|BAH|IST|ORD|MBS|
MBS|BEG,|BEG|IST|ORD|MBS|
MBS|BEN,|BEN|IST|ORD|MBS|
MBS|BEY,|BEY|IST|ORD|MBS|
MBS|BHX,|BHX|EWR|ORD|MBS|
MBS|BIO,|BIO|IST|ORD|MBS|
MBS|BLQ,|BLQ|IST|ORD|MBS|
MBS|BOM,|BOM|IST|ORD|MBS|
MBS|BRE,|BRE|IST|ORD|MBS|
MBS|BSL,|BSL|IST|ORD|MBS|
MBS|BSR,|BSR|IST|ORD|MBS|
MBS|BUD,|BUD|IST|ORD|MBS|
MBS|BUS,|BUS|IST|ORD|MBS|
MBS|CAI,|CAI|IST|ORD|MBS|
MBS|CGN,|CGN|IST|ORD|MBS|
MBS|CMN,|CMN|IST|ORD|MBS|
MBS|CND,|CND|IST|ORD|MBS|
MBS|DAR,|DAR|NBO|ZRH|ORD|MBS|
MBS|DLM,|DLM|IST|ORD|MBS|
MBS|DMM,|DMM|IST|ORD|MBS|
MBS|DNK,|DNK|IST|ORD|MBS|
MBS|DNZ,|DNZ|IST|ORD|MBS|
MBS|DOK,|DOK|IST|ORD|MBS|
MBS|DUS,|DUS|ORD|MBS|
MBS|EDI,|EDI|EWR|ORD|MBS|
MBS|ELQ,|ELQ|IST|ORD|MBS|
MBS|FDH,|FDH|IST|ORD|MBS|
MBS|GOA,|GOA|IST|ORD|MBS|
MBS|GOT,|GOT|BRU|ORD|MBS|
MBS|HAJ,|HAJ|BRU|ORD|MBS|
MBS|HBE,|HBE|IST|ORD|MBS|
MBS|HEL,|HEL|IST|ORD|MBS|
MBS|HRG,|HRG|IST|ORD|MBS|
MBS|IFN,|IFN|IST|ORD|MBS|
MBS|ISE,|ISE|IST|ORD|MBS|
MBS|ISU,|ISU|IST|ORD|MBS|
MBS|JIB,|JIB|IST|ORD|MBS|
MBS|JRO,|JRO|IST|ORD|MBS|
MBS|KAN,|KAN|IST|ORD|MBS|
MBS|KBL,|KBL|IST|ORD|MBS|
MBS|KBP,|KBP|IST|ORD|MBS|
MBS|KFS,|KFS|IST|ORD|MBS|
MBS|KHI,|KHI|IST|ORD|MBS|
MBS|KIV,|KIV|IST|ORD|MBS|
MBS|KRT,|KRT|IST|ORD|MBS|
MBS|KSH,|KSH|IST|ORD|MBS|
MBS|KVD,|KVD|IST|ORD|MBS|
MBS|KWI,|KWI|SAW|VIE|ORD|MBS|
MBS|KYA,|KYA|IST|ORD|MBS|
MBS|KZN,|KZN|IST|ORD|MBS|
MBS|KZR,|KZR|IST|ORD|MBS|
MBS|LED,|LED|VIE|ORD|MBS|
MBS|LEJ,|LEJ|IST|ORD|MBS|
MBS|LGW,|LGW|IST|ORD|MBS|
MBS|LHE,|LHE|IST|ORD|MBS|
MBS|LIS,|LIS|EWR|ORD|MBS|
MBS|LJU,|LJU|IST|ORD|MBS|
MBS|LOS,|LOS|FRA|ORD|MBS|
MBS|LUX,|LUX|IST|ORD|MBS|
MBS|LWO,|LWO|IST|ORD|MBS|
MBS|LYS,|LYS|IST|ORD|MBS|
MBS|MAD,|MAD|EWR|ORD|MBS|
MBS|MAN,|MAN|EWR|ORD|MBS|
MBS|MED,|MED|IST|ORD|MBS|
MBS|MHD,|MHD|IST|ORD|MBS|
MBS|MLA,|MLA|IST|ORD|MBS|
MBS|MRS,|MRS|IST|ORD|MBS|
MBS|MSQ,|MSQ|IST|ORD|MBS|
MBS|MXP,|MXP|EWR|ORD|MBS|
MBS|MZH,|MZH|IST|ORD|MBS|
MBS|MZR,|MZR|IST|ORD|MBS|
MBS|NAJ,|NAJ|IST|ORD|MBS|
MBS|NAV,|NAV|IST|ORD|MBS|
MBS|NCE,|NCE|IST|ORD|MBS|
MBS|NIM,|NIM|IST|ORD|MBS|
MBS|NJF,|NJF|IST|ORD|MBS|
MBS|NSI,|NSI|BRU|ORD|MBS|
MBS|NUE,|NUE|IST|ORD|MBS|
MBS|ODS,|ODS|IST|ORD|MBS|
MBS|ORN,|ORN|IST|ORD|MBS|
MBS|OTP,|OTP|IST|ORD|MBS|
MBS|PRG,|PRG|BRU|ORD|MBS|
MBS|PRN,|PRN|IST|ORD|MBS|
MBS|RIX,|RIX|IST|ORD|MBS|
MBS|ROV,|ROV|IST|ORD|MBS|
MBS|RTM,|RTM|IST|ORD|MBS|
MBS|RUH,|RUH|IST|ORD|MBS|
MBS|SAH,|SAH|IST|ORD|MBS|
MBS|SJJ,|SJJ|IST|ORD|MBS|
MBS|SKG,|SKG|IST|ORD|MBS|
MBS|SKP,|SKP|IST|ORD|MBS|
MBS|SSH,|SSH|IST|ORD|MBS|
MBS|STR,|STR|EWR|ORD|MBS|
MBS|SVX,|SVX|IST|ORD|MBS|
MBS|SYZ,|SYZ|IST|ORD|MBS|
MBS|SZG,|SZG|IST|ORD|MBS|
MBS|TBZ,|TBZ|IST|ORD|MBS|
MBS|TGD,|TGD|IST|ORD|MBS|
MBS|TIA,|TIA|IST|ORD|MBS|
MBS|TIF,|TIF|IST|ORD|MBS|
MBS|TIP,|TIP|IST|ORD|MBS|
MBS|TLL,|TLL|VNO|CPH|YYZ|ORD|MBS|
MBS|TLS,|TLS|IST|ORD|MBS|
MBS|TRN,|TRN|IST|ORD|MBS|
MBS|TUN,|TUN|IST|ORD|MBS|
MBS|TXL,|TXL|EWR|ORD|MBS|
MBS|UFA,|UFA|IST|ORD|MBS|
MBS|VAS,|VAS|SAW|VIE|ORD|MBS|
MBS|VCE,|VCE|IST|ORD|MBS|
MBS|YNB,|YNB|IST|ORD|MBS|
MBS|ZAG,|ZAG|IST|ORD|MBS|
